,AUC,AP,HSIC,p_value,#0.05,cov_1,delta,k
150,0.8620954241071429,0.8219805836489431,4.1284784e-05,0.3662030622206597,False,0.05014190450310707,200,21
151,0.8736049107142857,0.8530384699716965,1.5323509e-05,0.7121565886861434,False,0.026227783411741257,500,21
152,0.8719606983418366,0.857805267044113,7.867075e-06,0.8349625656033246,False,0.023907983675599098,1000,21
153,0.8587123325892857,0.8131282191051561,4.1333046e-06,0.8352153331199932,False,0.011386537924408913,2000,21
154,0.8975071192989307,0.8884274164938047,0.016206304,1.8390137091557225e-87,True,0.7434495687484741,0,22
155,0.8652863484627819,0.8203442026169223,0.002447059,1.2812149501177591e-24,True,0.39937499165534973,10,22
156,0.8218048236065444,0.7958072768955229,7.0967646e-05,0.06900700146081498,False,0.11133384704589844,100,22
157,0.8416387650205946,0.8179469562190901,4.5852034e-05,0.2591476872032988,False,0.05843672901391983,200,22
158,0.8253181788608122,0.8027773457915548,1.8728502e-05,0.4942296887905008,False,0.12547273933887482,500,22
159,0.8371895159877684,0.818006835065405,1.1101627e-05,0.6771929835759795,False,0.04566117003560066,1000,22
160,0.8124959336166038,0.7918336592346518,4.2231345e-06,0.8235001108344466,False,0.01994987763464451,2000,22
161,0.9000484644424038,0.8986090984183714,0.018169705,4.3188626299077395e-103,True,0.6214081048965454,0,23
162,0.8612641567187022,0.8417198265626846,0.0016895459,3.1727352553454663e-16,True,0.2947918176651001,10,23
163,0.841017498214468,0.8227788332899906,7.162811e-05,0.2821319787659444,False,0.09013284742832184,100,23
164,0.8413299663299663,0.8184960048158135,2.4293415e-05,0.7114564712855488,False,0.05411606654524803,200,23
165,0.8416488113457812,0.8194247430373413,5.709637e-06,0.865190176908702,False,0.04248112812638283,500,23
166,0.8539370982552801,0.8425974272820529,7.3034876e-06,0.905862276783173,False,0.034118931740522385,1000,23
167,0.8260190286705439,0.8078963006139532,2.6896535e-06,0.9558326497285083,False,0.028362376615405083,2000,23
168,0.9058842866535174,0.8987207502736089,0.024416756,1.5324119678714422e-144,True,0.68552166223526,0,24
169,0.900387902695595,0.8969514088221382,0.001483334,1.194396068932456e-14,True,0.2556261718273163,10,24
170,0.8671663379355687,0.8473657633557811,0.000110337365,0.1501785312125879,False,0.07960990071296692,100,24
171,0.8553780407626562,0.8336865868439348,4.498683e-05,0.40145207364308727,False,0.06391377002000809,200,24
172,0.8487968441814596,0.821129329857043,1.8469553e-05,0.7581270942159584,False,0.050834376364946365,500,24
173,0.8500000000000001,0.8390415659462283,5.34074e-06,0.9226518295820322,False,0.044756244868040085,1000,24
174,0.8581788297172913,0.8320380914944989,2.8818974e-06,0.9483561367216302,False,0.06664681434631348,2000,24
175,0.8864627509851754,0.8579899325656256,0.021223715,1.1346708178250751e-103,True,0.5961135625839233,0,25
176,0.8360893225745919,0.8147262654183539,0.0019549108,1.5525784884849168e-28,True,0.40037083625793457,10,25
177,0.7726552824169638,0.7403239332576377,0.0001039608,0.00013639172121419015,True,0.1498466581106186,100,25
178,0.7888009007318447,0.7759105843495766,5.6801073e-05,0.0029723265500327853,True,0.10834634304046631,200,25
179,0.7379846124976543,0.6829954752013365,7.899617e-06,0.2757877255600372,False,0.08574145287275314,500,25
180,0.8104484893976356,0.7702554870542588,5.1105653e-06,0.2644862569639349,False,0.06101259961724281,1000,25
181,0.7883054982173017,0.7575604677497503,1.9167994e-06,0.5996512291477522,False,0.022920873016119003,2000,25
182,0.8678335974253084,0.8377945903139524,0.022387058,7.835543240153406e-118,True,0.6644643545150757,0,26
183,0.843884697169974,0.8039465837924762,0.0016695814,1.607343123754829e-25,True,0.2785355746746063,10,26
184,0.8413559822989959,0.8212244397159041,7.722848e-05,0.008122648243690229,True,0.04285411164164543,100,26
185,0.8157978998530389,0.8099719277808651,3.2806e-05,0.03288470804037472,True,0.07674900442361832,200,26
186,0.8036387221779787,0.7933591067415069,2.0157086e-05,0.16625682858451737,False,0.010309740900993347,500,26
187,0.8161263043817375,0.7860318136481239,1.03255e-05,0.16340273837101366,False,0.1130812019109726,1000,26
188,0.7951166246582541,0.7431319542670428,3.6536867e-06,0.5082555364566324,False,0.24747838079929352,2000,26
189,0.8940029892917837,0.8601306355416264,0.02378938,6.663213337630249e-144,True,0.744613528251648,0,27
190,0.8746698470547287,0.833851588443979,0.0018953088,7.734198930505856e-19,True,0.27044275403022766,10,27
191,0.8674371941606436,0.8228090896424614,0.00016473045,0.01635763869126355,True,0.10751250386238098,100,27
192,0.8738047951516145,0.8575347975129227,7.2198025e-05,0.12707548239717936,False,0.0879504531621933,200,27
193,0.8738355070535001,0.8495940145874132,2.2099894e-05,0.6509212169071359,False,0.05863652378320694,500,27
194,0.8490510022317315,0.8328088746109634,7.4971845e-06,0.8964639832615131,False,0.02790018543601036,1000,27
195,0.8279775188878197,0.7993939740590037,3.865206e-06,0.9272193867338213,False,0.015801984816789627,2000,27
196,0.8837552603168308,0.8462644729729241,0.028735507,2.421516753682182e-146,True,0.6934146881103516,0,28
197,0.8498982821806538,0.8122942011082515,0.0019324387,4.421750182548557e-28,True,0.31730443239212036,10,28
198,0.8037470347603206,0.7533005523779817,0.0001951712,1.0604784021567407e-05,True,0.1324552446603775,100,28
199,0.7922532883865424,0.7327305460733492,7.099373e-05,0.0014265051528516539,True,0.10167137533426285,200,28
200,0.8150498307151093,0.7761426002456677,2.3760944e-05,0.05452799977698313,False,0.06299719959497452,500,28
201,0.7713589060009842,0.7384531910879744,5.020661e-06,0.14284800791394864,False,0.06568700075149536,1000,28
202,0.799105470729504,0.7629284549053144,4.583513e-06,0.31282867216191584,False,0.5862708687782288,2000,28
203,0.9247687499999999,0.9150755435738684,0.015636688,2.8505639330427526e-85,True,0.5291630029678345,0,29
204,0.89156875,0.8765613152664099,0.0020090702,8.900242888963579e-22,True,0.3820977509021759,10,29
205,0.8682812499999999,0.8543449467314918,0.00011765372,0.022878952542244077,True,0.11153876781463623,100,29
206,0.8561312499999999,0.8337893856878398,6.370188e-05,0.17470148184172263,False,0.0969051644206047,200,29
207,0.8663062499999999,0.8496178339798194,2.1821354e-05,0.6441156226274031,False,0.05461103841662407,500,29
208,0.8512500000000001,0.8254892979443837,9.529872e-06,0.8169667388921951,False,0.038521502166986465,1000,29
209,0.85583125,0.842239018020936,5.158434e-06,0.8929398151884174,False,0.022641316056251526,2000,29
210,0.8951632334822992,0.8788208602889648,0.024505029,1.9836796219588144e-124,True,0.8373984098434448,0,30
211,0.8442769400030005,0.8119644439462104,0.001685675,1.831988264805733e-21,True,0.28797248005867004,10,30
212,0.8293333818267785,0.7872415547138973,0.00010805518,0.005907818490536987,True,0.0888538658618927,100,30
213,0.791472124603907,0.7469476479601908,3.3874687e-05,0.39527374815614397,False,0.04624234884977341,200,30
214,0.8278422083914876,0.7810386960630982,9.676353e-06,0.8074562881626914,False,0.013629425317049026,500,30
215,0.8213001395701964,0.7615002906654136,4.5464753e-06,0.9162895033530879,False,0.013737805187702179,1000,30
216,0.8251144521074191,0.8041540232298491,3.535994e-06,0.9508322736400668,False,0.017168257385492325,2000,30
217,0.8786805555555555,0.8769234172101491,0.02440273,2.1225294006518685e-119,True,0.7926226258277893,0,31
218,0.8667515432098765,0.8680878669314616,0.0016128191,1.4015048787329468e-21,True,0.33182618021965027,10,31
219,0.8553703703703703,0.8511216284629817,6.671679e-05,0.022616900265502542,True,0.05041145160794258,100,31
220,0.8615817901234568,0.844778340860658,3.6848054e-05,0.09617391057315237,False,0.05878839269280434,200,31
221,0.8450848765432099,0.8078583093044459,1.1448352e-05,0.3792276005324287,False,0.105197012424469,500,31
222,0.8434182098765431,0.8341579138212962,5.684825e-06,0.23792196578399746,False,0.015017576515674591,1000,31
223,0.8435185185185186,0.8207337613337502,2.570814e-06,0.8173884903011253,False,0.003263841848820448,2000,31
224,0.886054800623747,0.8780740680188708,0.022154333,1.4270460206875927e-113,True,0.7460111975669861,0,32
225,0.8794336773842231,0.8545528657952959,0.0013781773,5.094265952197983e-22,True,0.26592499017715454,10,32
226,0.8446263706343902,0.8194386237575214,8.273992e-05,0.01547361443423434,True,0.07243093848228455,100,32
227,0.8662099948021089,0.8410745445359188,4.7929847e-05,0.06777400326794666,False,0.050936855375766754,200,32
228,0.865795401103933,0.8559680636383331,1.6047701e-05,0.3950589692325961,False,0.04557612165808678,500,32
229,0.8596878790128957,0.8500162715347063,9.705021e-06,0.506356676357826,False,0.04673347994685173,1000,32
230,0.8358085195910993,0.8124286466690009,3.8997027e-06,0.5691070678192737,False,0.02897700108587742,2000,32
231,0.8970930753381708,0.8817855593980641,0.020326234,6.48737372132916e-116,True,0.6237227320671082,0,33
232,0.8716444205560034,0.8547435918529175,0.0018578671,9.331137060559924e-26,True,0.32873260974884033,10,33
233,0.8324972378990115,0.7853094697437999,0.00010478197,0.006775708518115906,True,0.09977269917726517,100,33
234,0.7952984562095016,0.7495613951679464,4.426079e-05,0.11365682506557824,False,0.07306196540594101,200,33
235,0.83344531040043,0.7903629125832601,1.9404228e-05,0.32646182733656515,False,0.0842411145567894,500,33
236,0.803009943563558,0.7480055240413612,5.6124136e-06,0.7273794514407335,False,0.03142077103257179,1000,33
237,0.8012183104900117,0.7661162058867488,3.551082e-06,0.7442576329766977,False,0.03469289094209671,2000,33
238,0.9101724185192293,0.8869063508713857,0.019938888,2.8840461781970424e-100,True,0.8153797388076782,0,34
239,0.8780735177215537,0.8323709814920924,0.0018483035,8.73749040674017e-24,True,0.3675343990325928,10,34
240,0.8340231901537787,0.7930527527139704,0.00016148834,8.506529942858883e-05,True,0.13739599287509918,100,34
241,0.8465913763328856,0.8190889840238431,6.388544e-05,0.010314921144637647,True,0.08719385415315628,200,34
242,0.8193854335133357,0.7924205616696627,1.5999654e-05,0.09750587875829204,False,0.1252591907978058,500,34
243,0.8171171294646529,0.7853193940992513,6.0907664e-06,0.4562508496134101,False,0.05590014159679413,1000,34
244,0.8254913516625093,0.7875458176964392,5.5143923e-06,0.24667562980065258,False,0.04133407771587372,2000,34
245,0.9091744569529856,0.8925548843044446,0.016862746,7.887169088008782e-93,True,0.6759581565856934,0,35
246,0.8834525639754018,0.8454596455254815,0.0025170404,2.6160555051517118e-28,True,0.334909588098526,10,35
247,0.8619383554850228,0.8384161052521363,0.00010704034,0.04857693358384118,True,0.05712437629699707,100,35
248,0.8670340706209085,0.8509820911958087,4.0097646e-05,0.1802541125813551,False,0.07851734012365341,200,35
249,0.8626326621702043,0.8466194603557929,1.5826363e-05,0.4353715108896786,False,0.04713153839111328,500,35
250,0.8662312785161674,0.8637519354503804,6.8152576e-06,0.5089112654633843,False,0.013399743475019932,1000,35
251,0.848225798452688,0.8346052908875694,4.169167e-06,0.6725132414048071,False,0.03316877409815788,2000,35
252,0.8942390532544379,0.8968839913664739,0.016827757,4.982196214778181e-99,True,0.7111890316009521,0,36
253,0.8517775147928994,0.8243389008127249,0.0016851111,1.4438373966306684e-21,True,0.3455086648464203,10,36
254,0.8678532544378698,0.8408919482747181,0.00014982361,0.0019605392927264944,True,0.11216768622398376,100,36
255,0.8624094674556213,0.8290363063395958,4.2478583e-05,0.08856791810120712,False,0.08080495893955231,200,36
256,0.8643029585798816,0.8606555763239033,1.5713045e-05,0.4784526197008978,False,0.03361169248819351,500,36
257,0.8438248520710059,0.7978561021614271,8.585132e-06,0.6078218352024067,False,0.13258935511112213,1000,36
258,0.8451881656804735,0.8181620848084008,4.2230217e-06,0.7858938679962821,False,0.035110507160425186,2000,36
259,0.9149327037196031,0.892756695058935,0.018189473,1.915609382330253e-108,True,0.7838557362556458,0,37
260,0.8739552031514357,0.8650943342309142,0.0018752827,7.725715849399638e-15,True,0.33549365401268005,10,37
261,0.8888033130476503,0.8692924528478044,9.213823e-05,0.275681632938331,False,0.10788383334875107,100,37
262,0.8577624302416605,0.8318915116749639,4.1351075e-05,0.5637297506360164,False,0.054636575281620026,200,37
